          JJ   RBR    CD   VBD   SYM     $    RB   WP$   PDT  PRP$   WRB     ,     (     :  NNPS    DT    IN    RP   JJS    ''    WP     #    MD   POS    NN   VBG    CC   VBN    ``    LS   JJR   WDT    EX    UH   VBZ    FW   RBS   VBP   NNP    VB    TO   PRP     .     )   NNS	
JJ      2552     0    23     2     0     0    29     0     6     0     0     0     0     0     0     7     3     2     0     0     0     0     0     0    75    12     3    58     0     0     1     0     0     0     3     4     0     3   145     9     1     0     0     0    11	
RBR        1    44     0     0     0     0     7     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    32     0     0     0     0     0     0     0     0     1     0     0     0     0     0	
CD        64     0  1278     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0    12     4     0     3     0     0     0     0     0     0     0     0     0     0    37     8     0     2     0     0     5	
VBD        5     0     1  1344     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    17    15     0    95     0     0     0     0     0     0    16     0     0     1    16     6     0     0     0     0     2	
SYM        0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
$          0     0     0     0     0   336     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
RB        41     4     3     2     0     0  1238     0     0     0     0     0     0     0     0     4    60    24     0     0     0     0     0     0    16     5     3    14     0     0     0     0     3     2     4     0     0     2    31     4     0     0     0     0     3	
WP$        0     0     0     0     0     0     0     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
PDT        0     0     0     0     0     0     0     0     9     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
PRP$       0     0     0     0     0     0     0     0     0   403     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0	
WRB        0     0     0     0     0     0     0     0     0     0    90     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0	
,          0     0     0     0     0     0     0     0     0     0     0  2525     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0	
(          0     0     0     0     0     0     0     0     0     0     0     0    52     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
:          0     0     0     0     0     0     0     0     0     0     0     0     0   285     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
NNPS       3     0     1     0     0     0     0     0     0     0     0     0     0     0    18     0     0     0     0     0     0     0     0     0    10     2     0     0     0     0     0     0     0     0     0     0     0     0    51     0     0     0     0     0     9	
DT         0     0     0     0     0     0     7     0    11     0     0     0     0     0     0  3947    11     0     0     0     0     0     0     0     3     0     3     0     0     0     0     3     0     1     0     2     0     0     2     0     0     0     0     0     0	
IN         8     0     1     0     1     0    55     0     0     0     0     0     0     0     0    17  4728    21     0     0     0     0     0     0     0     2     2     0     0     0     0     5     0     0     0     6     0     1     3     0     2     0     0     0     0	
RP         0     0     0     0     0     0    12     0     0     0     0     0     0     0     0     0    24    98     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
JJS        5     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    69     0     0     0     0     0     6     0     0     0     0     0     0     0     0     0     0     0     9     0     1     0     0     0     0     0     0	
''         0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   392     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
WP         0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   135     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
#          0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
MD         0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   405     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
POS        0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   395     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     0	
NN       219     0    14     4     0     0     2     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0  5549    33     2     5     0     0     0     0     0     0     5     9     0     6   213    11     0     3     0     0    57	
VBG       63     0    12     5     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    60   538     0    30     0     0     0     0     0     0     5     0     0     0    19     6     0     0     0     0     2	
CC         0     0     1     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1135     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
VBN       64     0    13    54     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    12    30     0   794     0     0     0     0     0     0     0     0     0     0    20    14     0     0     0     0     9	
``         0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   402     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
LS         0     0     1     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     7     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
JJR        7    30     1     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0   115     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
WDT        0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2    19     0     0     0     0     0     0     0     0     0     0     0     0     0     0   177     0     0     0     0     0     0     1     0     0     0     0     0     0	
EX         0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    47     0     0     0     0     0     0     0     0     0     0     0     0	
UH         1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
VBZ        9     0     3    10     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3    15     2     0     1     0     0     0     0     0     0  1011     0     0     1    11     5     0     0     0     0    26	
FW         0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0	
RBS        0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    17     0     0     0     0     0     0     0     0	
VBP        1     0     1     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    38     5     0     4     0     0     0     0     0     0     7     0     0   590     4    58     0     0     0     0     3	
NNP      123     0    36     4     0     0     2     0     0     0     0     0     0     0    40     5     2     0     0     0     0     0     0     0   112     5     0     5     0     0     0     0     0     0     6    29     0     0  4719     7     0     2     0     0    16	
VB        11     0     8     1     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    22    10     0     8     0     0     0     0     0     0     0     0     0    26     6  1085     0     0     0     0     0	
