          VB    NN   VBN   PRP     (   NNP     #  PRP$   SYM   JJS   WRB    RB    JJ  NNPS   POS    WP   VBD   NNS   VBZ   WP$    CD    TO    MD    IN    CC    RP    ``     .   WDT     ,    FW     )   VBP    DT    ''   JJR   RBS    UH   RBR   VBG     $    LS     :   PDT    EX	
VB      1085    22     8     0     0     6     0     0     0     0     0     1    11     0     0     0     1     0     0     0     8     0     0     0     0     0     0     0     0     0     0     0    26     0     0     0     0     0     0    10     0     0     0     0     0	
NN        11  5549     5     3     0   213     0     0     0     0     0     2   219     0     0     0     4    57     5     0    14     0     0     1     2     0     0     0     0     0     9     0     6     0     0     0     0     0     0    33     0     0     0     0     0	
VBN       14    12   794     0     0    20     0     0     0     0     0     2    64     0     0     0    54     9     0     0    13     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    30     0     0     0     0     0	
PRP        0     1     0   924     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
(          0     0     0     0    52     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
NNP        7   112     5     2     0  4719     0     0     0     0     0     2   123    40     0     0     4    16     6     0    36     0     0     2     0     0     0     0     0     0    29     0     0     5     0     0     0     0     0     5     0     0     0     0     0	
#          0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
PRP$       0     0     0     1     0     0     0   403     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
SYM        0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
JJS        0     6     0     0     0     1     0     0     0    69     0     0     5     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     9     0     0     0     0     0     0     0     0	
WRB        0     0     0     0     0     0     0     0     0     0    90     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
RB         4    16    14     0     0    31     0     0     0     0     0  1238    41     0     0     0     2     3     4     0     3     0     0    60     3    24     0     0     0     0     0     0     2     4     0     0     0     2     4     5     0     0     0     0     3	
JJ         9    75    58     0     0   145     0     0     0     0     0    29  2552     0     0     0     2    11     3     0    23     1     0     3     3     2     0     0     0     0     4     0     3     7     0     1     0     0     0    12     0     0     0     6     0	
NNPS       0    10     0     0     0    51     0     0     0     0     0     0     3    18     0     0     0     9     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0	
POS        0     0     0     0     0     0     0     0     0     0     0     0     0     0   395     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
WP         0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   135     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
VBD        6    17    95     0     0    16     0     0     0     0     0     0     5     0     0     0  1344     2    16     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0    15     0     0     0     0     0	
NNS        2   233    14     0     0   149     0     0     0     0     0     3    36    14     0     0     0  2487     8     0     8     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0    10     0     0     0     0     0	
VBZ        5    15     1     0     0    11     0     0     0     0     0     0     9     0     3     0    10    26  1011     0     3     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     2     0     0     0     0     0	
WP$        0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
CD         8    12     3     2     0    37     0     0     0     0     0     0    64     0     0     0     0     5     0     0  1278     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     4     0     0     0     0     0	
TO         0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0  1014     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
MD         0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   405     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
IN         0     0     0     0     0     3     0     0     1     0     0    55     8     0     0     0     0     0     0     0     1     2     0  4728     2    21     0     0     5     0     6     0     1    17     0     0     0     0     0     2     0     0     0     0     0	
CC         0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     1     0     0     0  1135     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
RP         0     0     0     0     0     0     0     0     0     0     0    12     0     0     0     0     0     0     0     0     0     0     0    24     0    98     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
``         0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   402     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
.          0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1917     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
WDT        0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    19     0     0     0     0   177     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0	
,          0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  2525     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
FW         0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
)          0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    55     0     0     0     0     0     0     0     0     0     0     0     0     0	
VBP       58    38     4     0     0     4     0     0     0     0     0     0     1     0     0     0     6     3     7     0     1     0     0     0     0     0     0     0     0     0     0     0   590     0     0     0     0     0     0     5     0     0     0     0     0	
DT         0     3     0     0     0     2     0     0     0     0     0     7     0     0     0     0     0     0     0     0     0     0     0    11     3     0     0     0     3     0     2     0     0  3947     0     0     0     1     0     0     0     0     0    11     0	
''         0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   392     0     0     0     0     0     0     0     0     0     0	
JJR        0     0     1     0     0     0     0     0     0     0     0     1     7     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0   115     0     0    30     0     0     0     0     0     0	
RBS        0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    17     0     0     0     0     0     0     0     0	
UH         0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0	
RBR        1     0     0     0     0     0     0     0     0     0     0     7     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    32     0     0    44     0     0     0     0     0     0	
VBG        6    60    30     0     0    19     0     0     0     0     0     0    63     0     0     0     5     2     5     0    12     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   538     0     0     0     0     0	
$          0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   336     0     0     0     0	
LS         0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     7     0     0     0	
:          0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   285     0     0	
PDT        0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     9     0	
EX         0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    47	
